ids	class	sentence
201	1	"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike"
202	1	"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn"
203	1	"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe"
204	0	NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6
205	0	"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX"
206	1	@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall
207	0	"@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents"
208	0	Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G
209	0	still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx
210	0	DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w
211	0	Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time - https://t.co/SB843Zf0IF @ISupport_Israel
212	1	"@RealDonaldTrump @HouseGOP Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  #SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer #Immigration https://t.co/rItfeGcB5R via @BreitbartNews"
213	0	"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection. https://t.co/pp7LgFikT1"
214	0	"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility 4 them. In last 30 yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-"
215	0	"Italy’s populist coalition poised to defy EU with plans to deport 500,000 migrants https://t.co/dNxnranpM6"
216	1	"Lithuania, Romania aided CIA torture, top European Union court rules https://t.co/Xe5EDJp3jt            EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration..."
217	1	"Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ? https://t.co/gVBh2r9bes"
218	1	Rich African Countries don't take in African MigrantsRich muslim countries don't take in muslim migrantsRich latin american countries don't take it latin migrantsBut white countries are suppose to accept them??
219	0	New research uncovers successes and failures of UK’s help for Syrian immigrants https://t.co/XCgX2mLVN9
220	0	Immigration why us 2 Million EU Migrants allowed and their families also more money leaving the EU no thats to pay for their passage to get to the Uk...
221	0	@NBCNews @MSNBC @jacobsoboroff @DatelineNBC Close the tunnels with gunpowder !
222	0	Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. #Inhumane https://t.co/oZoPGNiFaE
223	0	"Over the past two weeks, 1,172 refugees arrived in the US. 8,044 have arrived in FY18, but we are nearly 10,000 behind schedule. We will continue to stand for the vulnerable! #refugeeswelcome https://t.co/rYCWCz3iBt"
224	0	Church leaders determine to ease #economic problems at the heart of #humantrafficking plaguing #Indonesia https://t.co/DT60zpnlVd @ucanindonesia @UNmigration @ryandagur
225	0	And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason https://t.co/YBuCPtPp7e
226	1	"@WattersWorld @JesseBWatters @BillSpadea How about discussing this? #JoeBiden's ""black box"" of American success. #WhiteGenocide #ImmigrationInvasion #JesseWatters #WatersWorldhttps://t.co/k8bWjj7tnp"
227	0	"It is a cruel irony that sikhs often **look** more exotic to American eyes, even though they tend to be among the most deeply assimilated of immigrant groups. of course the people they're mistaken for also don't deserve to be attacked. https://t.co/57NitaFqce"
